relative_path,line_number,keywords,line
results\human_posthold_descriptive\05f3f\execution_input\TARGET_OS_complete86_primary_endpoint.tsv,1,os_event;os_time_days,execution_index_86	source_sample_index_88	sample_id	case_key	os_time_days	os_event
results\human_posthold_descriptive\05f3f\frozen_execution\TARGET_classical_inner_tuning.tsv,1,fold;outer;repeat,inner_fold	alpha	uno_c	gradient_norm	status	alpha_mean_uno_c	n_finite	chosen_alpha	repeat	outer_fold	model_id
results\human_posthold_descriptive\05f3f\frozen_execution\TARGET_fold_metrics.tsv,1,fold;outer;repeat,repeat	outer_fold	model_id	n_train	events_train	n_test	events_test	uno_c	ibs	ibs_status	risk_sd	risk_q99_q01
results\human_posthold_descriptive\05f3f\frozen_execution\TARGET_model_summary.tsv,1,repeat,model_id	uno_c	uno_valid_repeats	ibs	ibs_valid_repeats	risk_sd	risk_sd_valid_repeats	risk_q99_q01	risk_q99_q01_valid_repeats
results\human_posthold_descriptive\05f3f\frozen_execution\TARGET_oof_predictions.tsv,1,fold;outer;repeat,repeat	outer_fold	model_id	sample_index	sample_id	case_key	risk
results\human_posthold_descriptive\05f3f\frozen_execution\TARGET_split_registry.tsv,1,fold;outer;repeat,repeat	outer_fold	sample_index	sample_id	case_key	role
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,27,fold,from sklearn.model_selection import StratifiedKFold
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,28,surv,from sksurv.util import Surv
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,66,outer,OUTER_SPLITS = 5
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,67,outer;repeat,OUTER_REPEATS = 20
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,75,repeat,MIN_VALID_REPEATS = 16
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,78,tau,UNO_TAU_QUANTILE = 0.90
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,289,surv,def _make_surv(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,293,surv,return Surv.from_arrays(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,384,breslow;surv,def _breslow_survival_from_fixed_risk(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,389,eval_times,"eval_times: np.ndarray,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,392,breslow,Target-training-only Breslow baseline recalibration for a fixed risk score.
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,413,eval_times,eval_times = np.asarray(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,414,eval_times,"eval_times,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,424,breslow,"""Non-finite Breslow input."""
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,462,breslow,"""Invalid Breslow risk-set sum."""
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,478,eval_times,"eval_times,"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,483,eval_times,"len(eval_times),"
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,506,fold,def _fold_metrics(
results\human_posthold_descriptive\05f3f\runner\frozen_TARGET86_evaluation_runner_v3_bytesafe.py,515,surv,y_train = _make_surv(
